x,y,z,value
0,0,0,4
0,0,1,4.407851080125
0,0,2,4.775511104
0,0,3,5.067773620375
0,0,4,5.258815488
0,0,5,5.335469140624999
0,0,6,5.298918592
0,0,7,5.164505440875
0,0,8,4.959512576
0,0,9,4.719020081125
0,0,10,4.4801975308641975
0,0,11,4.27570811136111
0,0,12,4.127336448
0,0,13,4.0412087449475305
0,0,14,4.006491467851852
0,0,15,3.99985234375
0,0,16,3.99578452490535
0,0,17,3.97742193206893
0,0,18,3.9360558293333336
0,0,19,3.8697759280025723
0,0,20,3.7842436213991775
0,0,21,3.690843538458334
0,0,22,3.604061930666667
0,0,23,3.542494203831791
0,0,24,3.526316074666667
0,0,25,3.569715263310186
0,0,26,3.6763903391604944
0,0,27,3.8391268317083336
0,0,28,4.041620333037037
0,0,29,4.261461669489197
0,0,30,4.476999999999999
0,0,31,4.676082611111111
0,0,32,4.850602232098765
0,0,33,4.990673066666666
0,0,34,5.084135644444444
0,0,35,5.118587191358024
0,0,36,5.083925333333333
0,0,37,4.974049535833332
0,0,38,4.787734901728395
0,0,39,4.530253101791667
0,0,40,4.215756378600823
0,1,0,4.407851080125
0,1,1,4.8021356840000005
0,1,2,5.143675234375
0,1,3,5.399243302469136
0,1,4,5.546404004825617
0,1,5,5.576870576
0,1,6,5.4971013787793215
0,1,7,5.327149038065843
0,1,8,5.097781171875
0,1,9,4.84586963381893
0,1,10,4.608504756558128
0,1,11,4.416586259333333
0,1,12,4.288751892039609
0,1,13,4.227003605967078
0,1,14,4.2159764112083336
0,1,15,4.227025417662552
0,1,16,4.226379108356996
0,1,17,4.193035833333333
0,1,18,4.11846986721965
0,1,19,4.004278881341564
0,1,20,3.861806698458334
0,1,21,3.7088628204609058
0,1,22,3.565547874228395
0,1,23,3.4519450000000007
0,1,24,3.3886599742052472
0,1,25,3.391486386320988
0,1,26,3.4661271908750004
0,1,27,3.6064843209876547
0,1,28,3.7957963667052463
0,1,29,4.00979698
0,1,30,4.226918510155864
0,1,31,4.436237497802469
0,1,32,4.630232890625
0,1,33,4.799880077160493
0,1,34,4.932875086945987
0,1,35,5.015600522
0,1,36,5.035695921637345
0,1,37,4.984130200617283
0,1,38,4.85645171875
0,1,39,4.65369803708642
0,1,40,4.384311234591564
0,2,0,4.775511104
0,2,1,5.143675234375
0,2,2,5.448516672
0,2,3,5.6596652323595675
0,2,4,5.7581999999999995
0,2,5,5.740328181498456
0,2,6,5.61734683127572
0,2,7,5.41347036825
0,2,8,5.162051031176954
0,2,9,4.900664919624485
0,2,10,4.665456085333333
0,2,11,4.48502436406893
0,2,12,4.374690794139918
0,2,13,4.332575901583334
0,2,14,4.339527572016461
0,2,15,4.360892591569959
0,2,16,4.3574399999999995
0,2,17,4.307062594532922
0,2,18,4.201814367341564
0,2,19,4.045798072916667
0,2,20,3.8544868208724283
0,2,21,3.6513306860853914
0,2,22,3.4625887573333336
0,2,23,3.31156064642747
0,2,24,3.2172024691358034
0,2,25,3.1942377308750007
0,2,26,3.2484187654320995
0,2,27,3.3739032906311737
0,2,28,3.5538332799999997
0,2,29,3.763298421103395
0,2,30,3.9826909400493826
0,2,31,4.20247171875
0,2,32,4.417460330666667
0,2,33,4.619418567688271
0,2,34,4.79564
0,2,35,4.931126668675925
0,2,36,5.011378271604937
0,2,37,5.02460832275
0,2,38,4.96298464474074
0,2,39,4.823274591049383
0,2,40,4.6081397546666665
0,3,0,5.067773620375
0,3,1,5.399171697530865
0,3,2,5.659714219515433
0,3,3,5.822851372000001
0,3,4,5.873329953382202
0,3,5,5.8108439193991765
0,3,6,5.650493723958334
0,3,7,5.4191949890288065
0,3,8,5.151343676937757
0,3,9,4.8840795833333335
0,3,10,4.6518583168143
0,3,11,4.480610365226337
0,3,12,4.382382408624999
0,3,13,4.35197259890535
0,3,14,4.3676880860982505
0,3,15,4.388705878666666
0,3,16,4.376075597350823
0,3,17,4.308505386156379
0,3,18,4.178977577416667
0,3,19,3.9931952366255152
0,3,20,3.76856566872891
0,3,21,3.5312800000000006
0,3,22,3.3113604868724287
0,3,23,3.136652426411524
0,3,24,3.027022630208334
0,3,25,2.993865941925927
0,3,26,3.0409221228780874
0,3,27,3.161552180000001
0,3,28,3.338573739152778
0,3,29,3.5468784567901235
0,3,30,3.7690200195416668
0,3,31,3.997913935185185
0,3,32,4.231828930529321
0,3,33,4.464017699333333
0,3,34,4.681990593171296
0,3,35,4.869735475135801
0,3,36,5.010668046874999
0,3,37,5.090043968962962
0,3,38,5.0963520146033945
0,3,39,5.021995416666666
0,3,40,4.864358948435185
0,4,0,5.258815616
0,4,1,5.5449876970493825
0,4,2,5.75756
0,4,3,5.873990443351337
0,4,4,5.882510289646089
0,4,5,5.785382829
0,4,6,5.599302407374486
0,4,7,5.351657178497941
0,4,8,5.076213333333333
0,4,9,4.80851078027572
0,4,10,4.580590419226337
0,4,11,4.415424082333333
0,4,12,4.322003621399177
0,4,13,4.292677301954733
0,4,14,4.304953344
0,4,15,4.313432556020576
0,4,16,4.285714797563786
0,4,17,4.202018541666667
0,4,18,4.0564793415637865
0,4,19,3.8556478804650216
0,4,20,3.617099349333334
0,4,21,3.366750476995885
0,4,22,3.1346106995884777
0,4,23,2.949954583333334
0,4,24,2.8362614876707823
0,4,25,2.805068619890433
0,4,26,2.8562332800000005
0,4,27,2.9807258748070993
0,4,28,3.1604780246913577
0,4,29,3.3708944029999994
0,4,30,3.595021279604938
0,4,31,3.8307588032469133
0,4,32,4.0795200000000005
0,4,33,4.336772554012345
0,4,34,4.5909910889876535
0,4,35,4.825714783
0,4,36,5.022565516641975
0,4,37,5.163874714506172
0,4,38,5.234360000000001
0,4,39,5.222085743493827
0,4,40,5.119734543802469
0,5,0,5.3355007812499995
0,5,1,5.5700421
0,5,2,5.734300391126543
0,5,3,5.8098521484855965
0,5,4,5.78822732825
0,5,5,5.671981661522634
0,5,6,5.476646984971708
0,5,7,5.227484523333333
0,5,8,4.956142616453189
0,5,9,4.6952646188065845
0,5,10,4.473689192708333
0,5,11,4.311177043497942
0,5,12,4.214052421391461
0,5,13,4.17342399
0,5,14,4.1653456434310705
0,5,15,4.1528762860082304
0,5,16,4.105451317916667
0,5,17,4.007769840576133
0,5,18,3.8551696088631697
0,5,19,3.654334686666668
0,5,20,3.42160183577675
0,5,21,3.179751618106997
0,5,22,2.955566450000001
0,5,23,2.7765964773662564
0,5,24,2.66714218415638
0,5,25,2.642489583333335
0,5,26,2.702692884955248
0,5,27,2.835364822024692
0,5,28,3.020571961625
0,5,29,3.2339703314814816
0,5,30,3.4595999469521606
0,5,31,3.69905045
0,5,32,3.95677013275463
0,5,33,4.231048188271604
0,5,34,4.512129053124999
0,5,35,4.783864583333333
0,5,36,5.026671063618826
0,5,37,5.2203560499999995
0,5,38,5.346178045717592
0,5,39,5.388300010493827
0,5,40,5.335574609375
0,6,0,5.299167424
0,6,1,5.477708013845679
0,6,2,5.595634238683127
0,6,3,5.639191223958333
0,6,4,5.602376519374485
0,6,5,5.486639960268004
0,6,6,5.301464405333333
0,6,7,5.068768079346707
0,6,8,4.815118189300412
0,6,9,4.56966256975
0,6,10,4.357137973201646
0,6,11,4.193867783741769
0,6,12,4.084093333333334
0,6,13,4.0193018447788065
0,6,14,3.9794534026008233
0,6,15,3.935396278166667
0,6,16,3.865722313218107
0,6,17,3.7573405414094654
0,6,18,3.6066400000000005
0,6,19,3.419709396520577
0,6,20,3.2104465087736633
0,6,21,2.9957907566666675
0,6,22,2.797374156378601
0,6,23,2.6383918878600836
0,6,24,2.5412701866666674
0,6,25,2.523050546625516
0,6,26,2.5882919358683134
0,6,27,2.725278671875001
0,6,28,2.9131096296296297
0,6,29,3.127693536089506
0,6,30,3.353386645333333
0,6,31,3.59239031362037
0,6,32,3.851658765432099
0,6,33,4.132614531249999
0,6,34,4.428027451259259
0,6,35,4.722980412385802
0,6,36,4.997190848
0,6,37,5.232131748328189
0,6,38,5.403380905349794
0,6,39,5.491749422583332
0,6,40,5.483603445201646
0,7,0,5.16531352175
0,7,1,5.285521044238683
0,7,2,5.360857168999999
0,7,3,5.382655974757201
0,7,4,5.345896065457819
0,7,5,5.249003231333333
0,7,6,5.095798933899176
0,7,7,4.8974055509547325
0,7,8,4.676310043458333
0,7,9,4.455055982510288
0,7,10,4.254423603005659
0,7,11,4.08712125
0,7,12,3.9561584772031892
0,7,13,3.8555429043868314
0,7,14,3.773349010416667
0,7,15,3.693650717711935
0,7,16,3.601815419881688
0,7,17,3.487231121333334
0,7,18,3.3469914024495893
0,7,19,3.1858259773662563
0,7,20,3.0141515050833334
0,7,21,2.840638353909466
0,7,22,2.681250357489713
0,7,23,2.5526157866666677
0,7,24,2.473516702674898
0,7,25,2.4606041731687256
0,7,26,2.522866093750001
0,7,27,2.6536883613251034
0,7,28,2.8345345196105964
0,7,29,3.0442083333333327
0,7,30,3.265524488158436
0,7,31,3.4981473302469133
0,7,32,3.7501629224583337
0,7,33,4.026300196041151
0,7,34,4.323734910943929
0,7,35,4.630876785999999
0,7,36,4.928769988104423
0,7,37,5.194100478510288
0,7,38,5.402552992458332
0,7,39,5.532015612139917
0,7,40,5.5659010129933115
0,8,0,4.9611921919999995
0,8,1,5.0227946093749996
0,8,2,5.060505327670781
0,8,3,5.070234329783435
0,8,4,5.046693333333332
0,8,5,4.9839632068173865
0,8,6,4.878573497942386
0,8,7,4.732806761958333
0,8,8,4.556265589991769
0,8,9,4.367044967849794
0,8,10,4.180234368
0,8,11,4.005676572788066
0,8,12,3.8463751943374485
0,8,13,3.701672878666667
0,8,14,3.5729553909465026
0,8,15,3.45777146072428
0,8,16,3.3466666666666667
0,8,17,3.2315006824526753
0,8,18,3.1095612323292183
0,8,19,2.9834325000000006
0,8,20,2.859158150847737
0,8,21,2.7354465174897125
0,8,22,2.622806186666667
0,8,23,2.5298217994650214
0,8,24,2.470721316872428
0,8,25,2.4606840766666673
0,8,26,2.5119934156378605
0,8,27,2.6261716420766463
0,8,28,2.7904345599999996
0,8,29,2.986388586676955
0,8,30,3.195662094485597
0,8,31,3.4138189583333336
0,8,32,3.6500360607078193
0,8,33,3.9139542933621394
0,8,34,4.206973333333333
0,8,35,4.519768278794238
0,8,36,4.833749794238683
0,8,37,5.124372629
0,8,38,5.364963069102879
0,8,39,5.530501962448559
0,8,40,5.601566037333333
0,9,0,4.7216227022499995
0,9,1,4.726433478115226
0,9,2,4.731734404578189
0,9,3,4.737087083333333
0,9,4,4.736103079044239
0,9,5,4.717706131843621
0,9,6,4.670140069
0,9,7,4.585517556584362
0,9,8,4.463050911136831
0,9,9,4.309406911333333
0,9,10,4.136116801533436
0,9,11,3.9509326645349794
0,9,12,3.7588363802083338
0,9,13,3.5682220884773663
0,9,14,3.3958905150483543
0,9,15,3.249427396
0,9,16,3.1244620920853907
0,9,17,3.015118384773663
0,9,18,2.918264322916668
0,9,19,2.8335735227489725
0,9,20,2.7620036012211946
0,9,21,2.6918669866666676
0,9,22,2.6282849125514414
0,9,23,2.5715065020576144
0,9,24,2.530432087500001
0,9,25,2.520584694156379
0,9,26,2.555984694742798
0,9,27,2.646967083333333
0,9,28,2.7876095434670782
0,9,29,2.9620707295473254
0,9,30,3.1527643322083336
0,9,31,3.3524791945102885
0,9,32,3.571396159014918
0,9,33,3.8218287499999994
0,9,34,4.107753090397633
0,9,35,4.4215645258683125
0,9,36,4.745167282208333
0,9,37,5.053250396090535
0,9,38,5.317364199138373
0,9,39,5.510172675333332
0,9,40,5.610018051755658
0,10,0,4.483399176954732
0,10,1,4.435053255842078
0,10,2,4.412532309333333
0,10,3,4.418216836579733
0,10,4,4.444130272658436
0,10,5,4.473689192708333
0,10,6,4.486476906930041
0,10,7,4.463926255585905
0,10,8,4.394151104
0,10,9,4.274476837558128
0,10,10,4.110485596707819
0,10,11,3.9110423845833333
0,10,12,3.686310239868313
0,10,13,3.4566165039717083
0,10,14,3.248700373333334
0,10,15,3.078374993569959
0,10,16,2.9466970284773666
0,10,17,2.849746385833334
0,10,18,2.783342519835392
0,10,19,2.7435817422119353
0,10,20,2.719466666666667
0,10,21,2.7024156433847746
0,10,22,2.685128894156379
0,10,23,2.6613959808333343
0,10,24,2.6377572398353912
0,10,25,2.6274798932613175
0,10,26,2.6482766933333335
0,10,27,2.715334375514918
0,10,28,2.829204288263375
0,10,29,2.9772847882083333
0,10,30,3.1468855967078193
0,10,31,3.331417543235597
0,10,32,3.5374960000000004
0,10,33,3.776832455581275
0,10,34,4.05450335473251
0,10,35,4.3643763020833335
0,10,36,4.689361191769548
0,10,37,5.004295670396091
0,10,38,5.280022933333332
0,10,39,5.487975854346708
0,10,40,5.60533744855967
0,11,0,4.278902589780349
0,11,1,4.182369335333333
0,11,2,4.135421229423868
0,11,3,4.1426233590534975
0,11,4,4.194226523083333
0,11,5,4.268245725028806
0,11,6,4.335874551393004
0,11,7,4.36823375
0,11,8,4.342786748328189
0,11,9,4.248075731843621
0,11,10,4.085707422333334
0,11,11,3.8687555695473255
0,11,12,3.6179861271862146
0,11,13,3.3610195833333334
0,11,14,3.128397015795268
0,11,15,2.943326399884774
0,11,16,2.8118792502500005
0,11,17,2.731464557613169
0,11,18,2.6951072910236626
0,11,19,2.6946961106666674
0,11,20,2.720744781443416
0,11,21,2.7470246823045277
0,11,22,2.767971354166667
0,11,23,2.773359773662552
0,11,24,2.7666943762242804
0,11,25,2.7597175600000003
0,11,26,2.7706730858539097
0,11,27,2.8179968106995887
0,11,28,2.9077949739583335
0,11,29,3.032424708757202
0,11,30,3.1852583510889922
0,11,31,3.3610801333333336
0,11,32,3.5613962496784985
0,11,33,3.7936619701646084
0,11,34,4.062701158625
0,11,35,4.363525193473251
0,11,36,4.680636107555042
0,11,37,4.990139583333334
0,11,38,5.263550061406892
0,11,39,5.47254064236214
0,11,40,5.594641421124999
0,12,0,4.129877717333334
0,12,1,3.9909579915766464
0,12,2,3.92155768836214
0,12,3,3.9279371301250006
0,12,4,3.9986851028806587
0,12,5,4.107007521891461
0,12,6,4.216693333333334
0,12,7,4.289900575962449
0,12,8,4.295183542781893
0,12,9,4.214512942708334
0,12,10,4.048325858238683
0,12,11,3.8167651202417696
0,12,12,3.5494240000000006
0,12,13,3.2765332445766466
0,12,14,3.0303302057613175
0,12,15,2.838354637166667
0,12,16,2.7112358847736635
0,12,17,2.646545384162552
0,12,18,2.6362431146666676
0,12,19,2.669360101594651
0,12,20,2.7326229717860087
0,12,21,2.7976546875000015
0,12,22,2.852831815637861
0,12,23,2.8855962502983545
0,12,24,2.8966666666666674
0,12,25,2.896277295236626
0,12,26,2.9027884773662556
0,12,27,2.9367402577083332
0,12,28,3.009219201053498
0,12,29,3.1191104780735595
0,12,30,3.2636076160000003
0,12,31,3.4390082886445477
0,12,32,3.641365789497943
0,12,33,3.870677561833333
0,12,34,4.131312757201646
0,12,35,4.41861794594856
0,12,36,4.719013333333334
0,12,37,5.010927166936215
0,12,38,5.268027877399176
0,12,39,5.4639453125
0,12,40,5.578407556740741
0,13,0,4.042717584351338
0,13,1,3.8676750565843623
0,13,2,3.7765760038333336
0,13,3,3.776954580485597
0,13,4,3.8561662930812757
0,13,5,3.983754242
0,13,6,4.117910766460906
0,13,7,4.214310489522633
0,13,8,4.235810959791666
0,13,9,4.16189378600823
0,13,10,3.9949806506167698
0,13,11,3.758197083333333
0,13,12,3.484896122110597
0,13,13,3.207425266164609
0,13,14,2.9574915625000004
0,13,15,2.76275918763786
0,13,16,2.6389867701903293
0,13,17,2.586524918666667
0,13,18,2.596924837005144
0,13,19,2.656737211934157
0,13,20,2.7491818240833332
0,13,21,2.845991872427984
0,13,22,2.9296847688168732
0,13,23,2.986517133333334
0,13,24,3.0147249549897124
0,13,25,3.0231485262551443
0,13,26,3.0300213541666667
0,13,27,3.057309718041153
0,13,28,3.1211323272556584
0,13,29,3.2252650000000003
0,13,30,3.368778961456276
0,13,31,3.54816396090535
0,13,32,3.757264358208334
0,13,33,3.987808376954732
0,13,34,4.242701324909979
0,13,35,4.5133531473333335
0,13,36,4.790088099601338
0,13,37,5.054350347004116
0,13,38,5.283315778374999
0,13,39,5.454361692386831
0,13,40,5.551337161121913
0,14,0,4.007057031374486
0,14,1,3.8025420942083334
0,14,2,3.6900480658436217
0,14,3,3.6780210336291157
0,14,4,3.753382208
0,14,5,3.882364311608539
0,14,6,4.02335038472428
0,14,7,4.127800026041666
0,14,8,4.15757267489712
0,14,9,4.09164763530607
0,14,10,3.931318741333334
0,14,11,3.6994682891301442
0,14,12,3.4314571193415646
0,14,13,3.160279296875
0,14,14,2.9150179755720176
0,14,15,2.722137069106996
0,14,16,2.6012397226666666
0,14,17,2.557240661008231
0,14,18,2.5823045267489713
0,14,19,2.6610077976666675
0,14,20,2.7735074533662556
0,14,21,2.892959931779836
0,14,22,2.9980000000000007
0,14,23,3.0740650784465022
0,14,24,3.1172908773662553
0,14,25,3.135295714166667
0,14,26,3.1460077800823045
0,14,27,3.1727478661908437
0,14,28,3.2352133333333333
0,14,29,3.3394309142926955
0,14,30,3.485223515127572
0,14,31,3.6687610146250003
0,14,32,3.8829285596707823
0,14,33,4.118279847286522
0,14,34,4.3638965333333335
0,14,35,4.617897142735597
0,14,36,4.866768684510289
0,14,37,5.096978489583334
0,14,38,5.290172016460906
0,14,39,5.429129225689815
0,14,40,5.503063232000001
0,15,0,3.9999578125
0,15,1,3.772595923144033
0,15,2,3.6381678313677983
0,15,3,3.6060342506666667
0,15,4,3.6648273633400206
0,15,5,3.7839630144032923
0,15,6,3.9201368102916665
0,15,7,4.026827184230453
0,15,8,4.064728528272119
0,15,9,4.010987092
0,15,10,3.865016587898663
0,15,11,3.648529323390947
0,15,12,3.396664840416667
0,15,13,3.1410407684773665
0,15,14,2.9086208770421815
0,15,15,2.7245020833333333
0,15,16,2.6086834496039097
0,15,17,2.57054549489712
0,15,18,2.60435455125
0,15,19,2.693680250452675
0,15,20,2.81651232960391
0,15,21,2.947933026666667
0,15,22,3.065808065606996
0,15,23,3.1547012373662553
0,15,24,3.209164914166667
0,15,25,3.2358140946502063
0,15,26,3.252080826100823
0,15,27,3.2825640640000007
0,15,28,3.3474391529315843
0,15,29,3.452975784213992
0,15,30,3.5991860677083336
0,15,31,3.7819375857448563
0,15,32,3.993511757382202
0,15,33,4.223730369333333
0,15,34,4.461092373558127
0,15,35,4.693450411522634
0,15,36,4.913383668125
0,15,37,5.107306360781893
0,15,38,5.262540046924382
0,15,39,5.368263531999999
0,15,40,5.41877701099537
0,16,0,3.9967477148971193
0,16,1,3.7508516384079216
0,16,2,3.5943199999999997
0,16,3,3.5387449135159463
0,16,4,3.5762649700082303
0,16,5,3.6796494605416665
0,16,6,3.807979074897119
0,16,7,3.9157830269418725
0,16,8,3.9634666666666667
0,16,9,3.9268182788894035
0,16,10,3.8032930486255148
0,16,11,3.612880954
0,16,12,3.3868566255144037
0,16,13,3.155892628600823
0,16,14,2.944907050666667
0,16,15,2.7777313612427985
0,16,16,2.672984186732511
0,16,17,2.640680520833334
0,16,18,2.6782827983539095
0,16,19,2.7701310483724284
0,16,20,2.8937049173333333
0,16,21,3.026269703137861
0,16,22,3.1474106995884776
0,16,23,3.2412513541666668
0,16,24,3.3014961751440333
