x,y,z,value
0,0,0,4
0,0,1,3.224488782222222
0,0,2,2.7195743130864205
0,0,3,2.4963561600000004
0,0,4,2.41907301925926
0,0,5,2.391468312757203
0,0,6,2.3969291093333345
0,0,7,2.5163658677201646
0,0,8,2.8802933765267493
0,0,9,3.391860245333334
0,0,10,3.7842436213991775
0,0,11,3.925029809514404
0,0,12,3.865644629333334
0,0,13,3.7539959566748977
0,0,14,3.6960913024526754
0,0,15,3.6777333333333333
0,0,16,3.5164832121152263
0,0,17,3.0741286615967085
0,0,18,2.5394211840000005
0,0,19,2.2116759761646096
0,0,20,2.2640444444444445
0,1,0,4.000000042139917
0,1,1,3.2757494400000002
0,1,2,2.8236000000000008
0,1,3,2.6904248559670783
0,1,4,2.7009877193744867
0,1,5,2.6980884693333342
0,1,6,2.636137759868314
0,1,7,2.6131843621399184
0,1,8,2.7833600000000005
0,1,9,3.0656358476378607
0,1,10,3.282522122008231
0,1,11,3.3772341973333337
0,1,12,3.4072003292181074
0,1,13,3.467698600823046
0,1,14,3.5987597226666668
0,1,15,3.7340027364609054
0,1,16,3.641345535473251
0,1,17,3.1962666666666673
0,1,18,2.590510288065845
0,1,19,2.157947649053499
0,1,20,2.1220705493333334
0,2,0,4.009004377547325
0,2,1,3.4184133333333335
0,2,2,3.0749345790946503
0,2,3,3.064223262288066
0,2,4,3.208293333333334
0,2,5,3.282734393152264
0,2,6,3.2025527572016466
0,2,7,3.0785160320000005
0,2,8,3.0632693828477366
0,2,9,3.10936279835391
0,2,10,3.142249813333334
0,2,11,3.1767850205761325
0,2,12,3.2685017721152265
0,2,13,3.449259818666667
0,2,14,3.6946215637860083
0,2,15,3.899588790781893
0,2,16,3.837333333333333
0,2,17,3.393150374979424
0,2,18,2.752281357695473
0,2,19,2.2501066666666665
0,2,20,2.136616148806584
0,3,0,4.097737045333333
0,3,1,3.6708408230452676
0,3,2,3.4399901800823045
0,3,3,3.5105617066666666
0,3,4,3.7406638683127573
0,3,5,3.875871605201646
0,3,6,3.8052133333333336
0,3,7,3.6395565950946502
0,3,8,3.5116347754403296
0,3,9,3.40092
0,3,10,3.31672512526749
0,3,11,3.3141371193415643
0,3,12,3.4345747626666667
0,3,13,3.6586234203127574
0,3,14,3.9090709465020574
0,3,15,4.07835392
0,3,16,3.9981942386831273
0,3,17,3.5712812984362143
0,3,18,2.964246016
0,3,19,2.4791743209876547
0,3,20,2.3514011069629634
0,4,0,4.346909840855966
0,4,1,4.0750161948971195
0,4,2,3.8988266666666664
0,4,3,3.923019094650206
0,4,4,4.085376771687243
0,4,5,4.179564864
0,4,6,4.100894506139918
0,4,7,3.9442141563786013
0,4,8,3.7929866666666667
0,4,9,3.6522816945514407
0,4,10,3.5687163153909465
0,4,11,3.596514154666667
0,4,12,3.7439242798353907
0,4,13,3.9608966255144034
0,4,14,4.1493890559999995
0,4,15,4.220292447604938
0,4,16,4.095496173037037
0,4,17,3.7055333333333333
0,4,18,3.174135308641975
0,4,19,2.7570060539259265
0,4,20,2.638694912
0,5,0,4.755426337448559
0,5,1,4.593673813333333
0,5,2,4.379309954897119
0,5,3,4.228431278353909
0,5,4,4.165528213333333
0,5,5,4.100892181069959
0,5,6,3.962059989596708
0,5,7,3.810048149333334
0,5,8,3.699789718650206
0,5,9,3.645824639736626
0,5,10,3.6777333333333333
0,5,11,3.803088113251029
0,5,12,3.999797091028806
0,5,13,4.19681344
0,5,14,4.305817951604938
0,5,15,4.268819753086419
0,5,16,4.068708650666666
0,5,17,3.686607385283951
0,5,18,3.223924454716049
0,5,19,2.873743189333334
0,5,20,2.7611802469135807
0,6,0,5.232441941333332
0,6,1,5.114171102551439
0,6,2,4.780247242798353
0,6,3,4.373533333333333
0,6,4,4.026417103539094
0,6,5,3.7724527144032924
0,6,6,3.5494240000000006
0,6,7,3.3795813991769554
0,6,8,3.3264875720164615
0,6,9,3.3777169706666674
0,6,10,3.5164832121152267
0,6,11,3.724511971818931
0,6,12,3.957813333333333
0,6,13,4.154640164609054
0,6,14,4.247818349037037
0,6,15,4.162574698666666
0,6,16,3.8794767233580245
0,6,17,3.4829022222222226
0,6,18,3.0864000000000003
0,6,19,2.8016595998024694
0,6,20,2.691058159144033
0,7,0,5.6420917825843615
0,7,1,5.517456131687242
0,7,2,5.04205344
0,7,3,4.395227567934157
0,7,4,3.796855637860083
0,7,5,3.3714998186666674
0,7,6,3.082160987654322
0,7,7,2.9075756420740753
0,7,8,2.8646403413333337
0,7,9,2.9307236213991774
0,7,10,3.074128661596708
0,7,11,3.267546666666667
0,7,12,3.4899921424855966
0,7,13,3.7084133968065847
0,7,14,3.8707733333333336
0,7,15,3.8633110012839507
0,7,16,3.630782222222222
0,7,17,3.273439744
0,7,18,2.942900047012345
0,7,19,2.709795555555555
0,7,20,2.6027637546666664
0,8,0,5.860189180312757
0,8,1,5.733053333333333
0,8,2,5.191850415934156
0,8,3,4.422700744427984
0,8,4,3.680186666666667
0,8,5,3.137601251292182
0,8,6,2.7933669135802472
0,8,7,2.5839646080000005
0,8,8,2.492375235950618
0,8,9,2.48804658436214
0,8,10,2.539421184
0,8,11,2.636235226337449
0,8,12,2.7998943536460907
0,8,13,3.039976256
0,8,14,3.315095308641975
0,8,15,3.4889798787160493
0,8,16,3.46408
0,8,17,3.270192015012346
0,8,18,3.021771997234568
0,8,19,2.8201866666666664
0,8,20,2.7321796224526746
0,9,0,5.822325823999999
0,9,1,5.729020866897118
0,9,2,5.253129218106994
0,9,3,4.551013333333333
0,9,4,3.8500693496625513
0,9,5,3.309857835193416
0,9,6,2.916836437333334
0,9,7,2.6111575308641974
0,9,8,2.414142222222222
0,9,9,2.2956898559999996
0,9,10,2.211675976164609
0,9,11,2.181682218139918
0,9,12,2.261066666666667
0,9,13,2.5024543209876553
0,9,14,2.880147493925926
0,9,15,3.249207381333334
0,9,16,3.4782247838024696
0,9,17,3.5162755555555556
0,9,18,3.4064666666666668
0,9,19,3.2756976000000004
0,9,20,3.2244888538600827
0,10,0,5.520199176954732
0,10,1,5.461609105119341
0,10,2,5.151555882666665
0,10,3,4.69928828655144
0,10,4,4.240910012576132
0,10,5,3.8441999999999994
0,10,6,3.4618997538765433
0,10,7,3.0561177181234567
0,10,8,2.714089898666667
0,10,9,2.4634207043950616
0,10,10,2.264044444444444
0,10,11,2.1304110933333336
0,10,12,2.1375879690534973
0,10,13,2.3585408829629637
0,10,14,2.76861632
0,10,15,3.2445802469135807
0,10,16,3.6522503511440334
0,10,17,3.9019311786666666
0,10,18,3.990995238452675
0,10,19,3.9999999578600822
0,10,20,4
0,11,0,5.001337030320987
0,11,1,4.948194133333333
0,11,2,4.813265514403292
0,11,3,4.7038521810699585
0,11,4,4.628836053333333
0,11,5,4.497886900148147
0,11,6,4.182775928098765
0,11,7,3.718666666666667
0,11,8,3.261721481481482
0,11,9,2.9181543126913585
0,11,10,2.666266133333334
0,11,11,2.4878748489218117
0,11,12,2.458539094650206
0,11,13,2.6300933333333343
0,11,14,2.9768692909300416
0,11,15,3.434520683720165
0,11,16,3.9073745706666663
0,11,17,4.303757530864196
0,11,18,4.574056790123456
0,11,19,4.724209087999999
0,11,20,4.77551103236214
0,12,0,4.415800320000001
0,12,1,4.315873580246914
0,12,2,4.331737073251029
0,12,3,4.525858666666666
0,12,4,4.798232427983539
0,12,5,4.919433687703703
0,12,6,4.733279999999999
0,12,7,4.303227530271604
0,12,8,3.823325079703703
0,12,9,3.466386666666666
0,12,10,3.252140812641974
0,12,11,3.118766255144032
0,12,12,3.092143359999998
0,12,13,3.1862109979917683
0,12,14,3.397567078189298
0,12,15,3.7275241173333318
0,12,16,4.131966748971193
0,12,17,4.539849266304525
0,12,18,4.893124095999999
0,12,19,5.143285925925925
0,12,20,5.246209026633744
0,13,0,4.006281880493827
0,13,1,3.7879338271604936
0,13,2,3.87393824
0,13,3,4.25222600164609
0,13,4,4.712207736625514
0,13,5,4.985737642666666
0,13,6,4.932276543209876
0,13,7,4.606193458567901
0,13,8,4.20939328
0,13,9,3.9397247736625514
0,13,10,3.843162422255144
0,13,11,3.8071333333333337
0,13,12,3.789486268312756
0,13,13,3.8006436722304517
0,13,14,3.8464399999999994
0,13,15,3.9375680992921804
0,13,16,4.101235390946502
0,13,17,4.3593494826666666
0,13,18,4.690803908477366
0,13,19,5.007523456790123
0,13,20,5.191100949333333
0,14,0,3.934801959506173
0,14,1,3.550322986666667
0,14,2,3.5667861728395067
0,14,3,3.9618202469135806
0,14,4,4.455393664
0,14,5,4.791617444082305
0,14,6,4.8359049091687245
0,14,7,4.64344
0,14,8,4.412542551440329
0,14,9,4.3224677425514395
0,14,10,4.375984554666666
0,14,11,4.419216381893003
0,14,12,4.375172016460904
0,14,13,4.269119999999999
0,14,14,4.094563519736626
0,14,15,3.8638366685761327
0,14,16,3.6995115946666677
0,14,17,3.7383953909465033
0,14,18,4.010069465020577
0,14,19,4.385852757333334
0,14,20,4.680808972115227
0,15,0,4.160066666666667
0,15,1,3.6080213796872433
0,15,2,3.450336083489712
0,15,3,3.7185290240000004
0,15,4,4.148361038222222
0,15,5,4.4801975308641975
0,15,6,4.588125994666666
0,15,7,4.5371734523786005
0,15,8,4.512326820872428
0,15,9,4.640406272
0,15,10,4.859514403292181
0,15,11,4.976252672263374
0,15,12,4.885533461333332
0,15,13,4.58155584763786
0,15,14,4.082058987193417
0,15,15,3.5208666666666675
0,15,16,3.097014812971194
0,15,17,2.9891528562304535
0,15,18,3.237146752
0,15,19,3.6838423577283947
0,15,20,4.100883950617284
0,16,0,4.428058305316873
0,16,1,3.75450782235391
0,16,2,3.4333866666666673
0,16,3,3.5557563786008233
0,16,4,3.89117049362963
0,16,5,4.175866752
0,16,6,4.30318389728395
0,16,7,4.35781366255144
0,16,8,4.514826666666666
0,16,9,4.849463650502058
0,16,10,5.237376371884774
0,16,11,5.449857066666666
0,16,12,5.340604773662552
0,16,13,4.833367242798355
0,16,14,4.009185706666668
0,16,15,3.1675810083292184
0,16,16,2.6299837318847734
0,16,17,2.53072
0,16,18,2.830447407407407
0,16,19,3.3626876618271604
0,16,20,3.8796373760000002
0,17,0,4.483728674502058
0,17,1,3.808
0,17,2,3.4294332078353915
0,17,3,3.4598602355884776
0,17,4,3.7021600000000006
0,17,5,3.905751811160494
0,17,6,4.0034202469135804
0,17,7,4.10157568
0,17,8,4.372481160427984
0,17,9,4.861451193415638
0,17,10,5.406404458666667
0,17,11,5.751227160493826
0,17,12,5.692850011390947
0,17,13,5.092848106666667
0,17,14,4.0843539094650225
0,17,15,3.0926561862057618
0,17,16,2.54432
0,17,17,2.5619177083786004
0,17,18,2.9869903439012333
0,17,19,3.6099999999999994
0,17,20,4.170302734222222
0,18,0,4.321384832000001
0,18,1,3.7674274897119346
0,18,2,3.4544907082798355
0,18,3,3.4608582400000003
0,18,4,3.6032
0,18,5,3.6681056031604937
0,18,6,3.65184
0,18,7,3.7083769979259253
0,18,8,4.010667551604938
0,18,9,4.589906666666667
0,18,10,5.271421565366255
0,18,11,5.779904691358024
0,18,12,5.8610830080000005
0,18,13,5.333091795489712
0,18,14,4.342997860082306
0,18,15,3.3584173440000002
0,18,16,2.854972839506172
0,18,17,2.9895303719506163
0,18,18,3.5425327359999983
0,18,19,4.218327407407405
0,18,20,4.74463050745679
0,19,0,4.144479306008231
0,19,1,3.7837657715884774
0,19,2,3.60604
0,19,3,3.6204958024691356
0,19,4,3.6396448474074075
0,19,5,3.5083438080000002
0,19,6,3.286943347358025
0,19,7,3.1891200000000004
0,19,8,3.4143600000000007
0,19,9,4.000005184000001
0,19,10,4.7755111756378605
0,19,11,5.448506304000001
0,19,12,5.728981234567902
0,19,13,5.407526419753087
0,19,14,4.604681941333334
0,19,15,3.770108226370371
0,19,16,3.382274003753086
0,19,17,3.611919999999999
0,19,18,4.218635061728393
0,19,19,4.859239104790122
0,19,20,5.27813024
0,20,0,4.215756378600823
0,20,1,4.063944170666667
0,20,2,4.00418311163786
0,20,3,3.993282864987654
0,20,4,3.872499712
0,20,5,3.5197975308641976
0,20,6,3.040487424
0,20,7,2.701081408
0,20,8,2.7411845120000002
0,20,9,3.2244888960000004
0,20,10,4
0,20,11,4.77551103236214
0,20,12,5.246210178633745
0,20,13,5.192510997333334
0,20,14,4.687527436115227
0,20,15,4.110486419753086
0,20,16,3.885581568
0,20,17,4.17144870637037
0,20,18,4.742695131654321
0,20,19,5.261449152000001
0,20,20,5.520199176954734
1,0,0,3.22448896763786
1,0,1,2.551483328
1,0,2,2.2373200000000004
1,0,3,2.2981043621399175
1,0,4,2.533789369942388
1,0,5,2.756235221333334
1,0,6,2.877760599967079
1,0,7,2.970153744855968
1,0,8,3.1853200000000004
1,0,9,3.4324277796872433
1,0,10,3.5338269042304535
1,0,11,3.4625991253333344
1,0,12,3.3328497119341574
1,0,13,3.3076546502057624
1,0,14,3.458332458666667
1,0,15,3.679573415769547
1,0,16,3.683701942781893
1,0,17,3.3376666666666672
1,0,18,2.8535581893004127
1,0,19,2.570117714436215
1,0,20,2.674606677333334
1,1,0,3.2757442560000003
1,1,1,2.648831872
1,1,2,2.3668193208888897
1,1,3,2.4779943095308643
1,1,4,2.7661802453333344
1,1,5,2.9907618333497954
1,1,6,3.0504901723127578
1,1,7,3.0393676800000002
1,1,8,3.076269656230453
1,1,9,3.0982150041810703
1,1,10,3.024987413333334
1,1,11,2.9141072871769556
1,1,12,2.8920183053168733
1,1,13,3.0583935573333343
1,1,14,3.4032204125761316
1,1,15,3.7576883321152263
1,1,16,3.7970756693333336
1,1,17,3.4008413229300425
1,1,18,2.811050621102882
1,1,19,2.422370773333335
1,1,20,2.4881379115720175
1,2,0,3.4177733333333338
1,2,1,2.920301332806585
1,2,2,2.730327872000001
1,2,3,2.9044710400000007
1,2,4,3.2523169527572025
1,2,5,3.4979315226337455
1,2,6,3.5167688533333337
1,2,7,3.405317150551441
1,2,8,3.2689876587983546
1,2,9,3.0803348906666677
1,2,10,2.869173168724281
1,2,11,2.752120182255145
1,2,12,2.8451568640000007
1,2,13,3.181809754337449
1,2,14,3.667862525366255
1,2,15,4.087786666666666
1,2,16,4.120753574979424
1,2,17,3.6535248697942393
1,2,18,2.9482766933333338
1,2,19,2.4489804036214
1,2,20,2.4618307818930045
1,3,0,3.667613991769547
1,3,1,3.3353838896460903
1,3,2,3.2644183253333336
1,3,3,3.489818915292181
1,3,4,3.8473821411028806
1,3,5,4.079093333333334
1,3,6,4.06066791690535
1,3,7,3.8876837046255144
1,3,8,3.6374563626666667
1,3,9,3.322114878156379
1,3,10,3.0520067489711944
1,3,11,2.9733605973333335
1,3,12,3.170277870090535
1,3,13,3.6113844901399177
1,3,14,4.139695807999999
1,3,15,4.531806419753086
1,3,16,4.51529855473251
1,3,17,3.9959652693333347
1,3,18,3.235544967901235
1,3,19,2.6763540432592596
1,3,20,2.6337200000000003
1,4,0,4.07034680836214
1,4,1,3.8851411839999996
1,4,2,3.883870297020576
1,4,3,4.093479442699588
1,4,4,4.370706005333333
1,4,5,4.50825477636214
1,4,6,4.431033766979424
1,4,7,4.229322154666667
1,4,8,3.9403261674403294
1,4,9,3.6095484149465027
1,4,10,3.3799564586666677
1,4,11,3.388748564279836
1,4,12,3.6721054006255143
1,4,13,4.148036351999999
1,4,14,4.63288149438683
1,4,15,4.925385279209876
1,4,16,4.84033184
1,4,17,4.30642224671605
1,4,18,3.5507299452839503
1,4,19,2.977454592000001
1,4,20,2.8776066567901237
1,5,0,4.599265471999999
1,5,1,4.498943361053497
1,5,2,4.476689218106995
1,5,3,4.563786666666666
1,5,4,4.6817742456625515
1,5,5,4.680808972115226
1,5,6,4.519303189333334
1,5,7,4.280300576131688
1,5,8,4.003954403292181
1,5,9,3.7506351786666667
1,5,10,3.635509670979424
1,5,11,3.757164044115226
1,5,12,4.098146666666666
1,5,13,4.552286419753086
1,5,14,4.943295103209876
1,5,15,5.100622464
1,5,16,4.9228262020740745
1,5,17,4.382504691358026
1,5,18,3.6756266666666666
1,5,19,3.141320082962964
1,5,20,3.009978016395062
1,6,0,5.1423735730041145
1,6,1,5.045188249547325
1,6,2,4.913685418666666
1,6,3,4.803166664427983
1,6,4,4.722980191341564
1,6,5,4.604752789333333
1,6,6,4.374719459818931
1,6,7,4.097395643522635
1,6,8,3.846927296000001
1,6,9,3.6629862979423877
1,6,10,3.6274093624362145
1,6,11,3.796768341333334
1,6,12,4.132068889547325
1,6,13,4.540320212016462
1,6,14,4.870623935999999
1,6,15,4.947454490074074
1,6,16,4.694036439703704
1,6,17,4.173877760000001
1,6,18,3.582576285234568
1,6,19,3.156430373925926
1,6,20,3.0322582826666666
1,7,0,5.561952757201645
1,7,1,5.408431701333333
1,7,2,5.137050751736624
1,7,3,4.833667646156378
1,7,4,4.575957226666667
1,7,5,4.348804279835392
1,7,6,4.072827567407408
1,7,7,3.7786429440000013
1,7,8,3.517341818732511
1,7,9,3.3315776832263384
1,7,10,3.2825866666666674
1,7,11,3.400808554930042
1,7,12,3.659857504658437
1,7,13,4.0127427413333345
1,7,14,4.33881975071605
1,7,15,4.452984691358026
1,7,16,4.2677438080000005
1,7,17,3.8771428440493834
1,7,18,3.4659483559506175
1,7,19,3.1950818560000003
1,7,20,3.103761646090535
1,8,0,5.7669733333333335
1,8,1,5.5791903070288065
1,8,2,5.229335870946501
1,8,3,4.827678954666666
1,8,4,4.466244713613169
1,8,5,4.152425514403292
1,8,6,3.815740906666668
1,8,7,3.463271392395063
1,8,8,3.1591214514567914
1,8,9,2.9329645226666674
1,8,10,2.811673251028808
1,8,11,2.811050621102881
1,8,12,2.949711381333334
1,8,13,3.240644807901235
1,8,14,3.593926617283951
1,8,15,3.840866666666667
1,8,16,3.883613981234568
1,8,17,3.7534425639506175
1,8,18,3.5754685653333333
1,8,19,3.4508464874403293
1,8,20,3.4028268312757204
1,9,0,5.719752814880657
1,9,1,5.560689827818929
1,9,2,5.244624789333332
1,9,3,4.893094939390945
1,9,4,4.57388416763786
1,9,5,4.263230762666667
1,9,6,3.873165724444445
1,9,7,3.4181042220246924
1,9,8,3.025147861333334
1,9,9,2.748505187555556
1,9,10,2.5464194333497954
1,9,11,2.422370773333334
1,9,12,2.449165494781893
1,9,13,2.67897177125926
1,9,14,3.0531848320000003
1,9,15,3.445964434962963
1,9,16,3.7543369979259262
1,9,17,3.933151146666666
1,9,18,3.9950420714403285
1,9,19,3.9999309579588473
1,9,20,3.999975807999999
1,10,0,5.3926939167078185
1,10,1,5.300446101333333
1,10,2,5.121848724279834
1,10,3,4.97076427983539
1,10,4,4.8543577813333325
1,10,5,4.672925680197531
1,10,6,4.294308302222222
1,10,7,3.7705066666666673
1,10,8,3.275825679012346
1,10,9,2.9192101831111117
1,10,10,2.666266133333334
1,10,11,2.4881379115720175
1,10,12,2.461831275720165
1,10,13,2.6382000000000003
1,10,14,2.985065600790123
1,10,15,3.4376055363950617
1,10,16,3.9074713386666664
1,10,17,4.303761646090534
1,10,18,4.574106831275719
1,10,19,4.724231551999999
1,10,20,4.775511061860082
1,11,0,4.814703957333333
1,11,1,4.763001936065843
1,11,2,4.764264457218106
1,11,3,4.890132735999999
1,11,4,5.066511618897119
1,11,5,5.0955119676049385
1,11,6,4.821995733333334
1,11,7,4.317818734617285
1,11,8,3.7777565803456796
1,11,9,3.3725118720000005
1,11,10,3.1317516673580257
1,11,11,2.9890552177777785
1,11,12,2.965985194666667
1,11,13,3.0788046543539105
1,11,14,3.322141353613169
1,11,15,3.6988130559999997
1,11,16,4.172470447934156
1,11,17,4.662422677069958
1,11,18,5.0772704426666655
1,11,19,5.351099085958847
1,11,20,5.448470016000001
1,12,0,4.119132345679013
1,12,1,4.0518079273086425
1,12,2,4.185974101333334
1,12,3,4.546558508510288
1,12,4,4.983147796279835
1,12,5,5.221893333333334
1,12,6,5.109269406814816
1,12,7,4.715501616987655
1,12,8,4.2508016
1,12,9,3.9199174139259254
1,12,10,3.7824913580246906
1,12,11,3.7414962986666658
1,12,12,3.735604712823043
1,12,13,3.7643324426008213
1,12,14,3.843623103999999
1,12,15,4.039008724279834
1,12,16,4.383548372279835
1,12,17,4.831928831999999
1,12,18,5.284721493860082
1,12,19,5.6241733188477365
1,12,20,5.749453333333333
1,13,0,3.549306666666667
1,13,1,3.379056384
1,13,2,3.5545751058436217
1,13,3,4.0371158955720166
1,13,4,4.610919936
1,13,5,4.995387983539095
1,13,6,5.049002576592593
1,13,7,4.828613120000001
1,13,8,4.537123404378601
1,13,9,4.3793576064526745
1,13,10,4.399386666666667
1,13,11,4.464376808823045
1,13,12,4.472579274798353
1,13,13,4.419605205333332
1,13,14,4.327507615341563
1,13,15,4.273759341563785
1,13,16,4.353917504
1,13,17,4.617145630551439
1,13,18,5.007858907390946
1,13,19,5.372681215999999
1,13,20,5.52877086419753
1,14,0,3.318082794666668
1,14,1,2.966306908444446
1,14,2,3.0589048580740754
1,14,3,3.5141882240000006
1,14,4,4.104946688000001
1,14,5,4.570704043193416
1,14,6,4.754840490666667
1,14,7,4.707457789366256
1,14,8,4.622100090205761
1,14,9,4.671498794666666
1,14,10,4.851485107094649
1,14,11,4.989750955983538
1,14,12,4.973716991999998
1,14,13,4.820043664329217
1,14,14,4.550620136032922
1,14,15,4.204968576000001
1,14,16,3.957011213168725
1,14,17,3.9802488277860095
1,14,18,4.2757752746666675
1,14,19,4.66401780780247
1,14,20,4.891263521185185
1,15,0,3.431501781069959
1,15,1,2.886964973563786
1,15,2,2.806186666666667
1,15,3,3.137184197530864
1,15,4,3.6597020318024693
1,15,5,4.12730368
1,15,6,4.381073794106996
1,15,7,4.4741287242798355
1,15,8,4.586586666666666
1,15,9,4.841604350946501
1,15,10,5.170795711736625
1,15,11,5.3613633279999995
1,15,12,5.294216131687242
1,15,13,4.983198353909464
1,15,14,4.457364160000001
1,15,15,3.841619262156379
1,15,16,3.3667422622551446
1,15,17,3.2293866666666675
1,15,18,3.465438847736626
1,15,19,3.8859953398518514
1,15,20,4.214993898666667
1,16,0,3.632719279144033
1,16,1,2.9652058026666666
1,16,2,2.73462759163786
1,16,3,2.9390651122304527
1,16,4,3.375093504
1,16,5,3.805306159407407
1,16,6,4.073156582716049
1,16,7,4.243335722666666
1,16,8,4.494949122106996
1,16,9,4.91030258146502
1,16,10,5.364545706666666
1,16,11,5.616765980181069
1,16,12,5.528148132082304
1,16,13,5.062050559999999
1,16,14,4.280430264625515
1,16,15,3.4601648676872436
1,16,16,2.911738090666667
1,16,17,2.7758093358353917
1,16,18,3.025797069958848
1,16,19,3.4890346239999994
1,16,20,3.90653233145679
1,17,0,3.67308
1,17,1,3.019396414156378
1,17,2,2.7384270022057615
1,17,3,2.863400448
1,17,4,3.2210737177283955
1,17,5,3.58512
1,17,6,3.828948992
1,17,7,4.014834599506173
1,17,8,4.32834082818107
1,17,9,4.837955839999999
1,17,10,5.3924808230452665
1,17,11,5.739940534255143
1,17,12,5.70098464
1,17,13,5.179181486353909
1,17,14,4.269650951637861
1,17,15,3.349866666666667
1,17,16,2.8179306031934157
1,17,17,2.7891212931687237
1,17,18,3.1230609706666668
1,17,19,3.6372339358024686
1,17,20,4.088727407407407
1,18,0,3.531496131687243
1,18,1,3.016098973761317
1,18,2,2.7950031146666667
1,18,3,2.896313394567902
1,18,4,3.1691011097283956
1,18,5,3.4105600000000003
1,18,6,3.5485353370864194
1,18,7,3.6886090966913576
1,18,8,4.001050624
1,18,9,4.553114837069959
1,18,10,5.199334650205762
1,18,11,5.6798498346666655
1,18,12,5.7714783317860086
1,18,13,5.333825936329218
1,18,14,4.467032170666668
1,18,15,3.575117366255144
1,18,16,3.089688123786008
1,18,17,3.1523903786666665
1,18,18,3.574497520987653
1,18,19,4.109612141827159
1,18,20,4.525133333333334
1,19,0,3.3933118464526757
1,19,1,3.067676714666667
1,19,2,2.9599476311440327
1,19,3,3.0584544932345676
1,19,4,3.2257843200000003
1,19,5,3.2850275176296297
1,19,6,3.2278073394567905
1,19,7,3.2188966400000014
1,19,8,3.4533047095308658
1,19,9,4.000414252246915
1,19,10,4.7243369600000005
1,19,11,5.351513338205763
1,19,12,5.624635350650206
1,19,13,5.375462784
1,19,14,4.684011482864198
1,19,15,3.9279622004938273
1,19,16,3.5360094079999995
1,19,17,3.6692742905679006
1,19,18,4.120917089185184
1,19,19,4.606106751999999
1,19,20,4.928865758024691
1,20,0,3.5197485866666667
1,20,1,3.3643497194403293
1,20,2,3.3376166255144026
1,20,3,3.4054
1,20,4,3.44478414380247
1,20,5,3.293105998222223
1,20,6,2.9913175040000004
1,20,7,2.7587580246913594
1,20,8,2.8238370370370385
1,20,9,3.2757805440000016
1,20,10,4.000000113777777
1,20,11,4.724302400000001
1,20,12,5.174053333333333
1,20,13,5.177426172839506
1,20,14,4.769871789037038
1,20,15,4.250188586666667
1,20,16,3.987463693432099
1,20,17,4.138542222222222
1,20,18,4.525053333333333
